,trip_id,bike_id,trip_duration,trip_start_time,trip_end_time,from_station,from_station_id,from_station_mode,from_lat,from_long,to_station,to_station_id,to_station_mode,to_lat,to_long
21059,20240227000,325000,,2024-02-20 23:55:03,,Tullastraße / Zähringer Straße (FreloPlus),3873,station,48.01903,7.857215,,,,,
20353,20240227001,325002,,2024-02-20 23:55:03,,Händelstraße (FreloPlus),3730,station,48.01205,7.854987,,,,,
17644,20240227002,325006,0 days 03:50:00,2024-02-20 11:55:03,2024-02-20 15:45:03,BIKE 325006,0,floating,48.035831,7.807582,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
17722,20240227003,325006,0 days 00:15:00,2024-02-20 22:15:05,2024-02-20 22:30:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Studentendorf Vauban (FreloPlus),3699.0,station,47.9761,7.8284
17740,20240227004,325006,,2024-02-20 23:55:03,,Studentendorf Vauban (FreloPlus),3699,station,47.9761,7.8284,,,,,
36310,20240227005,325009,,2024-02-20 22:35:03,,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,,,,,
44849,20240227006,32501,0 days 00:15:01,2024-02-20 21:05:05,2024-02-20 21:20:06,Lorettobad ,3740,station,47.984584,7.840984,Hauptbahnhof,3691.0,station,47.99743,7.8425
44872,20240227007,32501,0 days 00:40:00,2024-02-20 23:10:04,2024-02-20 23:50:04,Hauptbahnhof,3691,station,47.99743,7.8425,Laßbergstraße (FreloPlus),3737.0,station,47.98464,7.89354
44874,20240227008,32501,,2024-02-20 23:55:03,,Laßbergstraße (FreloPlus),3737,station,47.98464,7.89354,,,,,
21354,20240227009,325011,0 days 02:40:00,2024-02-20 13:05:03,2024-02-20 15:45:03,BIKE 325011,0,floating,48.035773,7.807632,Rotteckring (FreloPlus),3692.0,station,47.9961,7.84616
21355,20240227010,325011,0 days 00:15:02,2024-02-20 15:45:03,2024-02-20 16:00:05,Rotteckring (FreloPlus),3692,station,47.9961,7.84616,Rathaus im Stühlinger (FreloPlus),3748.0,station,47.99987,7.83207
21451,20240227011,325011,,2024-02-20 23:55:03,,Rathaus im Stühlinger (FreloPlus),3748,station,47.99987,7.83207,,,,,
42852,20240227012,325016,,2024-02-20 23:55:03,,Berliner Allee,3677,station,48.00751,7.8284,,,,,
30005,20240227013,325018,,2024-02-20 23:55:03,,Munzinger Straße (FreloPlus),3686,station,47.98821,7.79626,,,,,
18169,20240227014,325019,,2024-02-20 23:55:03,,Alter Wiehrebahnhof (FreloPlus),3871,station,47.985014,7.854023,,,,,
29620,20240227015,325023,0 days 00:14:58,2024-02-20 15:25:05,2024-02-20 15:40:03,Albertstraße/Institutsviertel,3724,station,48.000858,7.849587,Holzmarkt,3697.0,station,47.991982,7.850421
